,count,max,min
Music,261593,0.93,0.0
Musical instrument,258536,0.42,0.0
Plucked string instrument,255571,0.24,0.0
Guitar,255920,0.27,0.0
Strum,208331,0.11,0.0
Acoustic guitar,103929,0.17,0.0
Electric guitar,248382,0.18,0.0
Mandolin,3043,0.2,0.0
Electronic tuner,92642,0.5,0.0
Tapping (guitar technique),31452,0.07,0.0
Effects unit,184620,0.29,0.0
Distortion,166627,0.34,0.0
Bass guitar,209888,0.53,0.0
Silence,12362,0.64,0.0
Sound effect,31877,0.77,0.0
"Inside, small room",23914,0.11,0.0
Bowed string instrument,3525,0.15,0.0
Pizzicato,1503,0.14,0.0
Double bass,1116,0.16,0.0
Speech,45586,0.92,0.0
Flamenco,1979,0.03,0.0
Country,8610,0.03,0.0
Video game music,1602,0.11,0.0
Funny music,1122,0.07,0.0
Ringtone,1840,0.71,0.0
Ukulele,4899,0.37,0.0
Chorus effect,16420,0.07,0.0
Electronic music,1515,0.12,0.0
Synthesizer,5050,0.31,0.0
Techno,334,0.07,0.0
Sampler,1253,0.08,0.0
Electric piano,2713,0.27,0.0
Keyboard (musical),4371,0.18,0.0
Reverberation,59752,0.3,0.0
Piano,3999,0.28,0.0
Soundtrack music,881,0.03,0.0
"Steel guitar, slide guitar",1366,0.07,0.0
Busy signal,395,0.88,0.0
Sine wave,3094,0.99,0.0
Echo,12394,0.19,0.0
Animal,4510,0.35,0.0
Bluegrass,1610,0.03,0.0
Telephone,118,0.25,0.0
"Beep, bleep",3333,0.85,0.0
Fart,348,0.93,0.0
Boing,1277,0.85,0.0
Didgeridoo,389,0.18,0.0
Buzzer,2570,0.92,0.0
Hum,2449,0.61,0.0
Mains hum,1838,0.66,0.0
Static,2249,0.8,0.0
Buzz,681,0.09,0.0
Cacophony,4678,0.58,0.0
White noise,1903,0.74,0.0
Jingle bell,10,0.1,0.01
Ding,1029,0.82,0.0
Meow,973,0.63,0.0
Electric toothbrush,67,0.11,0.0
Chirp tone,896,0.53,0.0
"Domestic animals, pets",964,0.31,0.0
Squeak,581,0.89,0.0
"Vehicle horn, car horn, honking",2438,0.9,0.0
Hoot,369,0.65,0.0
"Chicken, rooster",103,0.11,0.0
Fowl,426,0.37,0.0
Banjo,530,0.12,0.0
Coin (dropping),47,0.33,0.0
Vehicle,3049,0.49,0.0
"Outside, urban or manmade",178,0.07,0.0
Rattle,42,0.22,0.0
